ticker,model_name,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,total_signals,long_signals,short_signals,avg_trade_duration_hours,best_trade_pnl,worst_trade_pnl,consecutive_wins,consecutive_losses,largest_win,largest_loss,avg_confidence,avg_mfe,avg_mae,mfe_mae_ratio,recovery_factor,expectancy_usd,risk_reward_ratio,trade_frequency_per_day,avg_tp_distance_pct,avg_sl_distance_pct,avg_rr_ratio,signal_quality_score,signals_with_tp_sl_pct,signals_with_correct_sl_pct,avg_position_size_usd
GAZPF,ensemble_GAZPF_15_15min,268,98,170,36.56716417910448,194.1809929574956,0.1941809929574956,120.82754475368516,-68.5112846641385,1.0166723064768717,1928.403958192532,1.9253645132330013,0.1177890651691005,0.0,0.1008541456035428,8169,1720,1102,0.0,447.43225500000045,-177.20336000000142,0,0,447.43225500000045,-177.20336000000142,0.5891760180284845,0.605727637464342,0.2697490368250614,4.664301810140483,0.1006951848094623,0.7245559438716569,1.763615225521104,1.488888888888889,1.2579617619870984,0.5031847047948379,2.500000000000007,0.0,100.0,0.0,9936.871902985074
GAZPF,ensemble_GAZPF_15_15min,57,29,28,50.877192982456144,1099.6900479375036,1.0996900479375036,107.0223886918102,-71.56997229017831,1.5487586946374476,267.2463120249886,0.2668954101102064,3.1842709292125733,0.0,4.120303333367254,2744,504,418,0.0,152.43320000000008,-164.67391999999953,0,0,152.43320000000008,-164.67391999999953,0.7144611296222292,0.8307632759657327,0.2339245828975599,9.379867063042152,4.114893259348994,19.2928078585527,1.49535322240857,0.8636363636363636,1.2499999999999964,0.4999999999999964,2.500000000000011,0.0,100.0,0.0,9937.743859649125
GAZPF,ensemble_GAZPF_15_15min,57,29,28,50.877192982456144,1099.6900479375036,1.0996900479375036,107.0223886918102,-71.56997229017831,1.5487586946374476,267.2463120249886,0.2668954101102064,3.1842709292125733,0.0,4.120303333367254,2744,504,418,0.0,152.43320000000008,-164.67391999999953,0,0,152.43320000000008,-164.67391999999953,0.7144611296222292,0.8307632759657327,0.23392458289755996,9.379867063042152,4.114893259348994,19.2928078585527,1.49535322240857,0.8636363636363636,1.2499999999999964,0.4999999999999964,2.500000000000011,0.0,100.0,0.0,9937.743859649123
GAZPF,ensemble_GAZPF_15_mtf_15min,56,31,25,55.35714285714286,1451.1178006874834,1.4511178006874834,105.89662955040323,-73.26710861499969,1.792234238865775,190.7507139250083,0.18859297570261127,4.255171692361203,0.0,7.6944424641547835,2745,359,375,0.0,197.64750000000137,-164.67391999999953,0,0,197.64750000000137,-164.67391999999953,0.729439029424477,0.8346227758180025,0.2235156170353595,11.44663896656797,7.6074042965730415,25.912817869419797,1.4453501926336894,0.8484848484848485,1.249999999999996,0.49999999999999545,2.5000000000000147,0.0,100.0,0.0,9934.688928571428
GAZPF,quad_ensemble_GAZPF_15_15min,57,29,28,50.877192982456144,1142.9200606250379,1.1429200606250378,108.38224154741368,-71.43446229464254,1.5714129046760044,267.2185804749897,0.26686771497251166,3.2853807066119574,0.0,4.282721350324309,2744,426,366,0.0,152.43320000000008,-164.67391999999953,0,0,152.43320000000008,-164.67391999999953,0.7338925456865326,0.8275116656794698,0.22968964479890844,9.72553905000724,4.277098016887375,20.051229133772033,1.5172262527906248,0.8636363636363636,1.2499999999999958,0.499999999999996,2.5000000000000115,0.0,100.0,0.0,9936.020701754385
GAZPF,quad_ensemble_GAZPF_15_mtf_15min,57,29,28,50.877192982456144,1157.8579242500564,1.1578579242500564,107.79863557327583,-70.29651812053542,1.5882520191442386,238.55450169999676,0.23745590437873665,3.353978356346571,0.0,4.876096584245384,2744,321,337,0.0,194.60901999999982,-164.67391999999953,0,0,194.60901999999982,-164.67391999999953,0.7209289559842236,0.8095177841652588,0.22869914589950063,10.217700037055337,4.8536410589566845,20.313296916666793,1.533484708139265,0.8636363636363636,1.2499999999999962,0.499999999999995,2.5000000000000173,0.0,100.0,0.0,9938.02403508772
GAZPF,rf_GAZPF_15_15min,60,25,35,41.66666666666667,487.07348107508733,0.48707348107508736,114.08611732499992,-67.57369862999978,1.2059438132840832,407.4246969749802,0.40542052297978737,1.3481028490501117,0.0,1.2014031196426898,2741,521,398,0.0,194.60901999999982,-164.67391999999953,0,0,194.60901999999982,-164.67391999999953,0.6077565500065153,0.7624308707781846,0.249487512067543,6.405378847852783,1.1954932646240597,8.117891351250108,1.6883213385977165,0.9090909090909091,1.2499999999999962,0.49999999999999556,2.5000000000000147,0.0,100.0,0.0,9938.878999999997
GAZPF,rf_GAZPF_15_mtf_15min,54,28,26,51.85185185185185,945.9212757750356,0.9459212757750355,103.92818891964272,-75.54107746057676,1.481613299053015,267.2463120249886,0.2668954101102064,2.8814963768515187,0.0,3.5441646425633393,2747,432,405,0.0,142.13823000000022,-164.67391999999953,0,0,142.13823000000022,-164.67391999999953,0.6086805276153853,0.8522505590354652,0.23429856135259727,7.675166593913728,3.5395110548301534,17.5170606625,1.3757837776920852,0.8181818181818182,1.249999999999996,0.49999999999999517,2.500000000000016,0.0,100.0,0.0,9938.390000000001
GAZPF,triple_ensemble_GAZPF_15_15min,58,29,29,50.0,1087.506273475039,1.087506273475039,108.57233137499986,-71.07211504827562,1.527636138325872,267.2463120249886,0.2668954101102064,3.0793736037194717,0.0,4.074653337148009,2743,459,391,0.0,152.43320000000008,-164.67391999999953,0,0,152.43320000000008,-164.67391999999953,0.7512276618509425,0.8238393948927534,0.23304093175043114,9.572877832547704,4.069303202857119,18.75010816336212,1.527636138325872,0.8787878787878788,1.249999999999996,0.4999999999999965,2.5000000000000093,0.0,100.0,0.0,9935.228965517243
GAZPF,triple_ensemble_GAZPF_15_mtf_15min,56,30,26,53.57142857142857,1242.600941250028,1.242600941250028,104.88766038749992,-73.23187962980734,1.652616649140032,190.7507139250083,0.18898577259247407,3.654896986368788,0.0,6.575103110695815,2745,330,353,0.0,194.60901999999982,-164.67391999999953,0,0,194.60901999999982,-164.67391999999953,0.7648741233690944,0.8265524267972375,0.2280235491096893,10.741513462809143,6.514266267640517,22.189302522321547,1.4322677625880278,0.8484848484848485,1.2499999999999964,0.4999999999999947,2.500000000000019,0.0,100.0,0.0,9935.415714285715
