model_1h,model_15m,ticker,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
quad_ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,39,22,17,56.41025641025641,3060.5989788746974,30.605989788746975,222.59327160664526,-108.02664685126467,2.6665817120041906,3.0523005449955067,6.775565384497374
quad_ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,39,22,17,56.41025641025641,3060.5989788746974,30.605989788746975,222.59327160664526,-108.02664685126467,2.6665817120041906,3.0523005449955067,6.775565384497374
quad_ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,39,22,17,56.41025641025641,3060.5989788746974,30.605989788746975,222.59327160664526,-108.02664685126467,2.6665817120041906,3.0523005449955067,6.775565384497374
quad_ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,39,22,17,56.41025641025641,3060.5989788746974,30.605989788746975,222.59327160664526,-108.02664685126467,2.6665817120041906,3.0523005449955067,6.775565384497374
rf_NGG6_60_mtf_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,36,21,15,58.333333333333336,3044.6821113817205,30.446821113817208,223.36656134463513,-109.73437845704123,2.8497285014915352,3.3098234877572743,7.137713311699365
ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,40,21,19,52.5,2787.4908660671954,27.874908660671956,226.1665373744563,-103.26349572612564,2.420734835198556,3.1218246307004214,6.023288133166101
ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,40,21,19,52.5,2787.4908660671954,27.874908660671956,226.1665373744563,-103.26349572612564,2.420734835198556,3.1218246307004214,6.023288133166101
ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,40,21,19,52.5,2787.4908660671954,27.874908660671956,226.1665373744563,-103.26349572612564,2.420734835198556,3.1218246307004214,6.023288133166101
ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,40,21,19,52.5,2787.4908660671954,27.874908660671956,226.1665373744563,-103.26349572612564,2.420734835198556,3.1218246307004214,6.023288133166101
quad_ensemble_NGG6_60_mtf_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,41,22,19,53.65853658536586,2746.8988205104724,27.468988205104722,216.07337268105428,-105.61659886698519,2.368853226510428,4.698644755926261,5.860359249586776
quad_ensemble_NGG6_60_mtf_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,41,22,19,53.65853658536586,2746.8988205104724,27.468988205104722,216.07337268105428,-105.61659886698519,2.368853226510428,4.698644755926261,5.860359249586776
triple_ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,31,18,13,58.06451612903226,2645.1110207889596,26.451110207889595,223.34988688617085,-105.78361101247076,2.9234555955765247,2.66346358903733,7.288829336678306
triple_ensemble_NGG6_60_1h.pkl,ensemble_NGG6_15_mtf_15min.pkl,NGG6,31,18,13,58.06451612903226,2645.1110207889596,26.451110207889595,223.34988688617085,-105.78361101247076,2.9234555955765247,2.66346358903733,7.288829336678306
quad_ensemble_NGG6_60_mtf_1h.pkl,triple_ensemble_NGG6_15_15min.pkl,NGG6,39,21,18,53.84615384615385,2619.4081085682155,26.194081085682154,218.89659688959398,-109.85669033962536,2.3246591741326488,4.60739743630619,5.695326745141158
quad_ensemble_NGG6_60_mtf_1h.pkl,triple_ensemble_NGG6_15_15min.pkl,NGG6,39,21,18,53.84615384615385,2619.4081085682155,26.194081085682154,218.89659688959398,-109.85669033962536,2.3246591741326488,4.60739743630619,5.695326745141158
quad_ensemble_NGG6_60_mtf_1h.pkl,quad_ensemble_NGG6_15_15min.pkl,NGG6,39,21,18,53.84615384615385,2605.2394370176808,26.052394370176806,218.1989173680594,-109.82987931730918,2.3178155632913438,4.61326163757097,5.672112212519612
quad_ensemble_NGG6_60_mtf_1h.pkl,quad_ensemble_NGG6_15_15min.pkl,NGG6,39,21,18,53.84615384615385,2605.239435424086,26.05239435424086,218.19891726059407,-109.8298792804662,2.3178155629273167,4.6132616382407425,5.672112210563697
quad_ensemble_NGG6_60_mtf_1h.pkl,quad_ensemble_NGG6_15_15min.pkl,NGG6,39,21,18,53.84615384615385,2584.58323866492,25.8458323866492,217.68661969934394,-110.37976527896126,2.3008539866045083,4.621837723709382,5.626471023984882
quad_ensemble_NGG6_60_mtf_1h.pkl,quad_ensemble_NGG6_15_15min.pkl,NGG6,39,21,18,53.84615384615385,2584.58323866492,25.8458323866492,217.68661969934394,-110.37976527896126,2.3008539866045083,4.621837723709382,5.626471023984882
rf_NGG6_60_mtf_1h.pkl,quad_ensemble_NGG6_15_mtf_15min.pkl,NGG6,35,19,16,54.285714285714285,2577.8508187955777,25.77850818795578,230.28820701757,-112.35156965864083,2.434031377258398,3.387549822624446,6.031604713329467
ensemble_NGG6_60_mtf_1h.pkl,quad_ensemble_NGG6_15_15min.pkl,NGG6,40,21,19,52.5,2573.7929924804666,25.737929924804664,218.729870984832,-106.29127885268446,2.274448765130255,4.60739743630619,5.516153220306503
ensemble_NGG6_60_mtf_1h.pkl,quad_ensemble_NGG6_15_15min.pkl,NGG6,40,21,19,52.5,2573.7929924804666,25.737929924804664,218.729870984832,-106.29127885268446,2.274448765130255,4.60739743630619,5.516153220306503
