figi,ticker,name,current_price,lot_size,price_step,lot_value,margin_per_lot,margin_pct_of_balance,max_lots_available,volatility_pct,avg_volume_lots,avg_volume_rub,score,date_analyzed,analysis_period_days
FUTPLT092600,PTU6,PLT-9.26 Платина,2186.0,1.0,0.1,2186.0,61.951240000000006,1.2390248000000001,80,1.237093190432623,5722.0,12508292.0,82.37093190432623,2026-02-16T17:57:46.981469,30
FUTPLT122600,PTZ6,PLT-12.26 Платина,2246.1,1.0,0.1,2246.1,63.654474,1.2730894799999999,78,1.2011295769810537,2999.0,6736053.899999999,82.01129576981053,2026-02-16T17:50:05.169886,30
FUTPLD122600,PDZ6,PLD-12.26 Палладий,1901.8,1.0,0.01,1901.8,4.9503854,0.09900770799999999,1010,1.046189324399441,1832.0,3484097.6,80.4618932439944,2026-02-16T17:51:09.850642,30
FUTPLD092600,PDU6,PLD-9.26 Палладий,1849.6,1.0,0.01,1849.6,4.8145088,0.09629017599999999,1038,1.0178262481463192,3863.0,7145004.8,80.1782624814632,2026-02-16T17:53:01.249354,30
