ticker,model_name,model_filename,model_path,model_type,mode_suffix,total_trades,winning_trades,losing_trades,win_rate_pct,total_pnl_rub,total_pnl_pct,profit_factor,max_drawdown_rub,max_drawdown_pct,sharpe_ratio,long_trades,short_trades,avg_win_rub,avg_loss_rub,best_trade_rub,worst_trade_rub,avg_confidence,avg_tp_distance_pct,avg_sl_distance_pct,avg_rr_ratio,signals_with_tp_sl_pct,signals_with_correct_sl_pct
NRG6,rf_NRG6_15_15min,rf_NRG6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\rf_NRG6_15_15min.pkl,rf,15min,113,68,45,60.17699115044248,11447.29974356588,114.4729974356588,2.8928352082306628,1439.5625014040234,6.483090964780777,7.572576925233088,680,536,257.2794099728232,-134.3933363241355,504.0635879999993,-477.76171399999976,0.6822706353123749,2.423218153283802,0.9692872613135216,2.499999999999998,100.0,43.83223684210527
NRG6,quad_ensemble_NRG6_15_15min,quad_ensemble_NRG6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\quad_ensemble_NRG6_15_15min.pkl,quad,15min,114,67,47,58.77192982456141,10884.737310675886,108.84737310675885,2.6962689278489402,1348.7536205873294,6.2867987039462685,7.078008832941957,661,524,258.2329459528812,-136.52915038653546,490.9328625000001,-477.76171399999976,0.752760425469114,2.4613765580503055,0.9845506232201228,2.4999999999999987,100.0,43.79746835443038
NRG6,ensemble_NRG6_15_15min,ensemble_NRG6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\ensemble_NRG6_15_15min.pkl,ensemble,15min,114,67,47,58.77192982456141,10867.483609111969,108.6748360911197,2.6881223721644187,1361.8368259034469,6.39186705401213,7.060437052969975,679,533,258.28506893513645,-136.97055339451433,490.9328625000001,-477.76171399999976,0.7436756003247403,2.462957448431826,0.9851829793727315,2.4999999999999973,100.0,43.72937293729373
NRG6,xgb_NRG6_15_15min,xgb_NRG6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\xgb_NRG6_15_15min.pkl,xgb,15min,115,66,49,57.391304347826086,10697.644490899842,106.97644490899843,2.656001619409824,1484.8501979034481,6.9845887766527115,6.921498655932405,679,534,259.96315790665454,-131.83518226406846,490.9328625000001,-477.76171399999976,0.8126887272233548,2.450152940907703,0.9800611763630823,2.499999999999997,100.0,43.7757625721352
NRG6,triple_ensemble_NRG6_15_15min,triple_ensemble_NRG6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\triple_ensemble_NRG6_15_15min.pkl,triple,15min,116,67,49,57.758620689655174,10710.54454292532,107.1054454292532,2.6277284679347144,1349.3986180925822,6.341100821439362,6.864534172438595,674,533,258.0686654719183,-134.28685803455542,490.9328625000001,-477.76171399999976,0.766390282960086,2.449816729145474,0.9799266916581906,2.4999999999999973,100.0,43.74482187241094
PTH6,xgb_PTH6_15_15min,xgb_PTH6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\xgb_PTH6_15_15min.pkl,xgb,15min,121,75,46,61.98347107438017,8973.066092558576,89.73066092558575,2.7128297298408883,767.5791530709757,4.248637848358329,6.682900835149252,629,496,189.4907204503146,-113.8856074177181,558.9714000000004,-543.8838000000004,0.8342214529671945,2.2109133718234197,0.8843653487293686,2.4999999999999982,100.0,33.68888888888889
PTH6,ensemble_PTH6_15_15min,ensemble_PTH6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\ensemble_PTH6_15_15min.pkl,ensemble,15min,120,74,46,61.66666666666667,8908.343513901906,89.08343513901904,2.700475117072903,767.5791530709757,4.263913182109545,6.665832437753739,629,487,191.176776420499,-113.8856074177181,558.9714000000004,-543.8838000000004,0.7516474416729475,2.2192866686449357,0.8877146674579751,2.499999999999998,100.0,33.87096774193548
PTH6,triple_ensemble_PTH6_15_15min,triple_ensemble_PTH6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\triple_ensemble_PTH6_15_15min.pkl,triple,15min,121,74,47,61.15702479338842,8919.403257678197,89.19403257678198,2.6711019434153083,822.8067530709777,4.480163384249234,6.5575646162762675,629,486,192.66001896084978,-113.56251373244018,558.9714000000004,-543.8838000000004,0.7848453270724871,2.238296115329447,0.8953184461317791,2.499999999999999,100.0,34.17040358744395
SVH6,quad_ensemble_SVH6_15_15min,quad_ensemble_SVH6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\quad_ensemble_SVH6_15_15min.pkl,quad,15min,112,68,44,60.71428571428571,12915.21123463166,129.1521123463166,2.789841573757536,1251.4250098287594,5.692083679375762,6.192516700740713,625,503,296.0448777777826,-163.9963739603992,1236.0746249999997,-836.4277749999997,0.7629289212749664,2.6260441891460062,1.0504176756584018,2.5000000000000018,100.0,26.152482269503547
S1H6,quad_ensemble_S1H6_15_15min,quad_ensemble_S1H6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\quad_ensemble_S1H6_15_15min.pkl,quad,15min,115,70,45,60.86956521739131,13373.367972696771,133.7336797269677,2.7730264676533722,1633.9379446729035,6.758764776242791,6.106951040171987,622,502,298.80065870032803,-167.6150696961378,1252.666770000001,-954.5385300000007,0.768002211754166,2.62567224991281,1.0502688999651246,2.4999999999999982,100.0,25.444839857651246
