ticker,model_name,model_filename,model_path,model_type,mode_suffix,total_trades,winning_trades,losing_trades,win_rate_pct,total_pnl_rub,total_pnl_pct,profit_factor,max_drawdown_rub,max_drawdown_pct,sharpe_ratio,long_trades,short_trades,avg_win_rub,avg_loss_rub,best_trade_rub,worst_trade_rub,avg_confidence,avg_tp_distance_pct,avg_sl_distance_pct,avg_rr_ratio,signals_with_tp_sl_pct,signals_with_correct_sl_pct
GAZPF,quad_ensemble_GAZPF_60_1h,quad_ensemble_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\quad_ensemble_GAZPF_60_1h.pkl,quad,1h,12,11,1,91.66666666666666,1124.3894014875004,11.243894014875004,19.893405823019656,59.512266449997696,0.5818323500095345,24.72440517176657,36,42,107.6274243579543,-59.5122664499985,180.33680000000078,-59.5122664499985,0.6752117923015327,1.249999999999994,0.49999999999999273,2.5000000000000244,100.0,0.0
GAZPF,ensemble_GAZPF_60_1h,ensemble_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\ensemble_GAZPF_60_1h.pkl,ensemble,1h,12,11,1,91.66666666666666,1124.3894014875004,11.243894014875004,19.893405823019656,59.512266449997696,0.5818323500095345,24.72440517176657,42,45,107.6274243579543,-59.5122664499985,180.33680000000078,-59.5122664499985,0.697491446787098,1.249999999999994,0.49999999999999273,2.5000000000000244,100.0,0.0
GAZPF,triple_ensemble_GAZPF_60_1h,triple_ensemble_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\triple_ensemble_GAZPF_60_1h.pkl,triple,1h,12,10,2,83.33333333333334,1089.242180112502,10.89242180112502,15.837561533217938,59.512266449997696,0.5818323500095345,22.33377769240266,38,45,116.26533115624981,-36.70556572499914,180.33680000000078,-59.5122664499985,0.6775908240510438,1.249999999999995,0.49999999999999173,2.500000000000031,100.0,0.0
GAZPF,xgb_GAZPF_60_1h,xgb_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\xgb_GAZPF_60_1h.pkl,xgb,1h,12,10,2,83.33333333333334,1089.242180112502,10.89242180112502,15.837561533217938,59.512266449997696,0.5818323500095345,22.33377769240266,43,47,116.26533115624981,-36.70556572499914,180.33680000000078,-59.5122664499985,0.7342310597499212,1.249999999999995,0.49999999999999173,2.500000000000031,100.0,0.0
GAZPF,rf_GAZPF_60_1h,rf_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\rf_GAZPF_60_1h.pkl,rf,1h,14,9,5,64.28571428571429,682.4844942625077,6.824844942625077,3.522690640755231,211.02605609999773,2.0512477745156104,9.182395729083122,41,48,105.89142409027768,-54.10766450999969,180.33680000000078,-66.8403199999999,0.5478952798513539,1.2499999999999951,0.49999999999999384,2.500000000000021,100.0,0.0
S1H6,quad_ensemble_S1H6_15_mtf_15min,quad_ensemble_S1H6_15_mtf_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\quad_ensemble_S1H6_15_mtf_15min.pkl,quad,15min,106,66,40,62.264150943396224,13916.283931805508,139.1628393180551,2.9963019856988873,1633.9379446729035,6.939446988710015,6.712425636196645,565,477,316.4744755259306,-174.27578632264812,1252.666770000001,-954.5385300000007,0.7552501212676445,2.7503473541389205,1.1001389416555698,2.4999999999999964,100.0,27.447216890595012
S1H6,rf_S1H6_15_mtf_15min,rf_S1H6_15_mtf_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\rf_S1H6_15_mtf_15min.pkl,rf,15min,106,66,40,62.264150943396224,13507.808788157348,135.07808788157348,2.9360917430085367,1633.9379446729035,7.05917828820363,6.554537734383564,556,529,310.37351713492006,-174.421083568685,1252.666770000001,-954.5385300000007,0.6742265757267812,2.7196814801379556,1.087872592055184,2.499999999999996,100.0,26.820276497695854
S1H6,triple_ensemble_S1H6_15_mtf_15min,triple_ensemble_S1H6_15_mtf_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\triple_ensemble_S1H6_15_mtf_15min.pkl,triple,15min,106,64,42,60.37735849056604,13284.34902305454,132.8434902305454,2.8552684744458707,1633.9379446729035,6.967098398242186,6.381932726678343,562,488,319.448231916209,-170.48423379959146,1252.666770000001,-954.5385300000007,0.7691099524798535,2.7476961022657473,1.0990784409063006,2.4999999999999964,100.0,27.523809523809522
IMOEXF,ensemble_IMOEXF_60_1h,ensemble_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\ensemble_IMOEXF_60_1h.pkl,ensemble,1h,9,6,3,66.66666666666666,241.05077812500167,2.4105077812500166,2.453330066290448,77.3234999999986,0.773234999999986,6.342051456700508,37,34,67.8186296875,-55.287,96.6405,-77.3235,0.6676297162611127,1.2499999999999964,0.49999999999999084,2.5000000000000386,100.0,0.0
IMOEXF,rf_IMOEXF_60_1h,rf_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\rf_IMOEXF_60_1h.pkl,rf,1h,10,7,3,70.0,259.59822187499594,2.5959822187499593,2.410867569253088,106.6755000000012,1.0295735996616662,6.307415810825032,39,39,63.37103169642841,-61.333,96.6405,-77.3235,0.5575197597087789,1.2499999999999953,0.4999999999999929,2.500000000000026,100.0,0.0
IMOEXF,quad_ensemble_IMOEXF_60_1h,quad_ensemble_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\quad_ensemble_IMOEXF_60_1h.pkl,quad,1h,9,6,3,66.66666666666666,238.05377812499682,2.380537781249968,2.4483658799801047,75.82275000000118,0.7582275000000118,6.270671741766195,27,30,67.0690046875,-54.786750000000005,96.6405,-75.82275,0.6861284294652248,1.2499999999999978,0.4999999999999918,2.500000000000037,100.0,0.0
IMOEXF,triple_ensemble_IMOEXF_60_1h,triple_ensemble_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\triple_ensemble_IMOEXF_60_1h.pkl,triple,1h,9,6,3,66.66666666666666,238.05377812499682,2.380537781249968,2.4483658799801047,75.82275000000118,0.7582275000000118,6.270671741766195,29,31,67.0690046875,-54.786750000000005,96.6405,-75.82275,0.7445383954932338,1.2499999999999978,0.4999999999999918,2.500000000000037,100.0,0.0
IMOEXF,xgb_IMOEXF_60_1h,xgb_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\xgb_IMOEXF_60_1h.pkl,xgb,1h,9,6,3,66.66666666666666,236.55302812500122,2.3655302812500123,2.426212479877729,77.3234999999986,0.773234999999986,6.208641951085701,37,34,67.0690046875,-55.287,96.6405,-77.3235,0.7636959155400594,1.2499999999999976,0.49999999999999023,2.500000000000044,100.0,0.0
