ticker,model_name,model_filename,model_path,model_type,mode_suffix,total_trades,winning_trades,losing_trades,win_rate_pct,total_pnl_rub,total_pnl_pct,profit_factor,max_drawdown_rub,max_drawdown_pct,sharpe_ratio,long_trades,short_trades,avg_win_rub,avg_loss_rub,best_trade_rub,worst_trade_rub,avg_confidence,avg_tp_distance_pct,avg_sl_distance_pct,avg_rr_ratio,signals_with_tp_sl_pct,signals_with_correct_sl_pct
GAZPF,quad_ensemble_GAZPF_60_1h,quad_ensemble_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\quad_ensemble_GAZPF_60_1h.pkl,quad,1h,9,8,1,88.88888888888889,917.2111686874978,9.172111686874977,66.99180355284513,13.898865000001024,0.13581445088451535,30.5044238415586,27,39,116.38875421093746,-13.898864999999775,180.33680000000078,-13.898864999999775,0.6214402492382542,1.2499999999999962,0.4999999999999927,2.5000000000000293,100.0,0.0
GAZPF,triple_ensemble_GAZPF_60_1h,triple_ensemble_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\triple_ensemble_GAZPF_60_1h.pkl,triple,1h,9,8,1,88.88888888888889,917.2111686874978,9.172111686874977,66.99180355284513,13.898865000001024,0.13581445088451535,30.5044238415586,30,41,116.38875421093746,-13.898864999999775,180.33680000000078,-13.898864999999775,0.6612578988943487,1.2499999999999962,0.4999999999999927,2.5000000000000293,100.0,0.0
GAZPF,ensemble_GAZPF_60_1h,ensemble_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\ensemble_GAZPF_60_1h.pkl,ensemble,1h,10,9,1,90.0,826.6393862624973,8.266393862624973,14.919803006393884,59.385853800000405,0.5492026797311155,19.1970141355901,33,42,98.44724889583324,-59.38585379999944,180.33680000000078,-59.38585379999944,0.6956610310679426,1.249999999999996,0.49999999999999406,2.5000000000000218,100.0,0.0
GAZPF,xgb_GAZPF_60_1h,xgb_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\xgb_GAZPF_60_1h.pkl,xgb,1h,10,8,2,80.0,791.4921648874988,7.914921648874988,11.800234726253864,59.385853800000405,0.5509936452713812,17.34314344462421,32,45,108.09711046093753,-36.642359399999606,180.33680000000078,-59.38585379999944,0.7246894240379333,1.2499999999999967,0.49999999999999273,2.5000000000000298,100.0,0.0
GAZPF,rf_GAZPF_60_1h,rf_GAZPF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\rf_GAZPF_60_1h.pkl,rf,1h,10,8,2,80.0,620.5652879874979,6.205652879874979,5.909088549058706,126.4115083250017,1.2497791321068625,12.740365493305035,37,45,93.37209953906245,-63.20575416250025,180.33680000000078,-66.8403199999999,0.574975788467025,1.249999999999996,0.4999999999999967,2.5000000000000084,100.0,0.0
IMOEXF,triple_ensemble_IMOEXF_60_1h,triple_ensemble_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\triple_ensemble_IMOEXF_60_1h.pkl,triple,1h,6,5,1,83.33333333333334,219.1310999999987,2.191310999999987,5.228717815118747,51.81975000000057,0.5050749408802697,10.892382025779836,24,30,54.190169999999945,-51.81975,107.18175,-51.81975,0.6468666316087902,1.2499999999999978,0.499999999999992,2.5000000000000355,100.0,0.0
IMOEXF,xgb_IMOEXF_60_1h,xgb_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\xgb_IMOEXF_60_1h.pkl,xgb,1h,6,5,1,83.33333333333334,213.1340999999993,2.1313409999999933,5.1129897384684355,51.81975000000057,0.5050749408802697,10.496041014640962,28,31,52.99076999999994,-51.81975,107.18175,-51.81975,0.713863323132197,1.2499999999999971,0.49999999999999073,2.5000000000000404,100.0,0.0
IMOEXF,ensemble_IMOEXF_60_1h,ensemble_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\ensemble_IMOEXF_60_1h.pkl,ensemble,1h,6,5,1,83.33333333333334,208.63634999999886,2.0863634999999885,5.026193680980701,51.81975000000057,0.5050749408802697,10.192853208216714,27,30,52.09121999999994,-51.81975,107.18175,-51.81975,0.6296234994969997,1.249999999999999,0.49999999999998973,2.5000000000000493,100.0,0.0
IMOEXF,quad_ensemble_IMOEXF_60_1h,quad_ensemble_IMOEXF_60_1h.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\quad_ensemble_IMOEXF_60_1h.pkl,quad,1h,8,6,2,75.0,250.97859562499798,2.5097859562499796,3.458677850049649,51.81975000000057,0.5035119889875628,8.702416640111906,21,25,58.84287968750001,-51.03934124999989,96.566203125,-51.81975,0.7023048931966664,1.2499999999999976,0.49999999999999367,2.5000000000000266,100.0,0.0
GAZPF,rf_GAZPF_15_mtf_15min,rf_GAZPF_15_mtf_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\rf_GAZPF_15_mtf_15min.pkl,rf,15min,25,15,10,60.0,1085.7186516125003,10.857186516125003,2.858474007288478,163.66206479999892,1.4548539953067907,7.929453961181657,207,190,111.32784326249993,-58.419899732499836,142.13823000000022,-85.60226999999992,0.5908241183567318,1.2499999999999958,0.4999999999999965,2.500000000000009,100.0,0.0
RLH6,triple_ensemble_RLH6_15_15min,triple_ensemble_RLH6_15_15min.pkl,C:\Users\takeg\OneDrive\Документы\vibecodding\moex_bot\ml_models\triple_ensemble_RLH6_15_15min.pkl,triple,15min,70,41,29,58.57142857142858,3017.193370467179,30.171933704671794,2.8235955600350104,197.88151499999913,1.5318051159577861,7.404479295157682,401,382,113.94446988944317,-57.052754999999735,315.39,-94.495,0.7469444178918433,1.3290551716677677,0.5316220686671039,2.5000000000000147,100.0,1.40485312899106
