figi,ticker,name,current_price,lot_size,price_step,lot_value,margin_per_lot,margin_pct_of_balance,max_lots_available,volatility_pct,avg_volume_lots,avg_volume_rub,score,date_analyzed,analysis_period_days
FUTGL0926000,GLU6,GL-9.26 Золото (rub),13231.0,1.0,0.1,13231.0,203.36047000000002,4.0672094,24,0.3017804506732045,28918.0,382614058.0,73.01780450673205,2026-02-16T18:18:52.835173,30
FUTGOLD06260,GDM6,GOLD-6.26 Золото,5035.6,1.0,0.1,5035.6,71.35445200000001,1.4270890400000003,70,0.29887203113829247,229053.0,1153419286.8000002,72.98872031138292,2026-02-16T18:16:55.064557,30
FUTAFLT06260,AFM6,AFLT-6.26 Аэрофлот,5973.0,1.0,1.0,5973.0,1605.5423999999998,32.110848,3,0.27863480902154936,24867.0,148530591.0,72.7863480902155,2026-02-16T18:10:22.263058,30
FUTTRNF06260,TNM6,TRNF-6.26 Транснефть (привилегированные),1491.0,1.0,1.0,1491.0,372.75,7.455,13,0.27306697326818047,11623.0,17329893.0,72.73066973268179,2026-02-16T18:04:39.450648,30
FUTPHOR06260,PHM6,PHOR-6.26 ФосАгро,6653.0,1.0,1.0,6653.0,1063.1494,21.262988,4,0.2630392304223658,1014.0,6746142.0,72.63039230422366,2026-02-16T18:16:42.642347,30
FUTGOLD12260,GDZ6,GOLD-12.26 Золото,5046.8,1.0,0.1,5046.8,71.51315600000001,1.4302631200000002,69,0.253484527678074,14486.0,73107944.8,72.53484527678073,2026-02-16T18:05:12.632493,30
FUTGL1226000,GLZ6,GL-12.26 Золото (rub),13680.2,1.0,0.1,13680.2,219.84081400000005,4.396816280000001,22,0.24801224710582662,16267.0,222535813.4,72.48012247105827,2026-02-16T18:07:04.104656,30
FUTPHOR03260,PHH6,PHOR-3.26 ФосАгро,6440.0,1.0,1.0,6440.0,1029.112,20.582240000000002,4,0.24511978704525292,45975.0,296079000.0,72.45119787045252,2026-02-16T18:09:03.925024,30
FUTIMOEXF000,IMOEXF,IMOEXF Индекс МосБиржи,2783.5,1.0,0.5,2783.5,216.13877499999998,4.3227755,23,0.2232543816880084,12593241.0,35053286323.5,72.23254381688008,2026-02-16T18:13:26.880259,30
FUTGOLD09260,GDU6,GOLD-9.26 Золото,5045.0,1.0,0.1,5045.0,71.48765,1.429753,69,0.20968427014016244,39725.0,200412625.0,72.09684270140161,2026-02-16T18:11:42.193087,30
